participant_id,mapping,trial_number,presentation_order,completion_time_s,final_position_error,final_orientation_error_deg,mode_switches,path_length
P01,1,1,1,312.025,0.0363,8.69,10,21.9051
P01,1,2,2,60.994,0.0174,8.01,2,4.4352
P01,1,3,3,75.915,0.0415,7.56,4,8.6378
P01,1,4,4,624.881,0.0486,8.62,22,56.8531
P01,2,5,1,526.411,0.0406,4.92,0,32.1916
P01,2,6,2,232.094,0.0209,8.0,0,12.5812
P01,2,7,3,246.03,0.0318,0.71,0,12.7364
P01,2,8,4,214.08,0.0238,7.59,0,6.988
P02,2,1,1,156.05,0.0338,6.23,0,8.6012
P02,2,2,2,39.878,0.029,6.1,0,6.2056
P02,2,3,3,43.091,0.0367,5.19,0,7.406
P02,2,4,4,36.734,0.0486,4.88,0,4.0127
P02,1,5,1,73.415,0.0347,8.4,4,48.3496
P02,1,6,2,94.21,0.0342,5.73,2,13.2367
P02,1,7,3,43.01,0.05,8.18,2,13.8715
P02,1,8,4,69.734,0.025,7.66,6,16.4158
P03,1,1,1,221.253,0.0234,5.77,5,84.824
P03,1,2,2,53.583,0.0221,4.11,3,17.1891
P03,1,3,3,43.569,0.046,6.89,2,12.999
P03,1,4,4,46.602,0.0281,5.94,3,5.2605
P03,2,5,1,157.117,0.0488,6.55,2,15.3928
P03,2,6,2,38.681,0.049,9.71,0,3.5161
P03,2,7,3,46.691,0.0404,2.18,0,9.0729
P03,2,8,4,50.852,0.0413,5.75,0,7.0497
P04,2,1,1,226.278,0.0365,3.54,0,8.0332
P04,2,2,2,106.686,0.0224,2.32,0,6.8712
P04,2,3,3,46.108,0.0373,2.29,0,4.4675
P04,2,4,4,106.553,0.0305,3.25,0,9.9537
P04,1,5,1,251.252,0.0444,7.09,29,48.4045
P04,1,6,2,260.742,0.0308,2.24,13,19.2063
P04,1,7,3,84.035,0.0222,3.13,4,10.3066
P04,1,8,4,165.059,0.0348,2.2,6,19.3664
P05,1,1,1,147.759,0.0261,4.07,4,45.9547
P05,1,2,2,71.43,0.0128,3.62,8,32.5253
P05,1,3,3,115.568,0.0397,4.35,14,40.084
P05,1,4,4,39.694,0.0428,9.8,6,42.9132
P05,2,5,1,66.325,0.0383,4.2,0,13.4827
P05,2,6,2,27.608,0.049,8.57,0,3.6343
P05,2,7,3,35.239,0.0214,1.07,0,4.2671
P05,2,8,4,64.914,0.0377,7.14,0,8.6057
